Switzerland,90.62
Singapore,75.75
Luxembourg,70.93
Iceland,70.05
Norway,69.86
Israel,62.69
Denmark,60.26
Ireland,60.13
Australia,58.57
Netherlands,57.1
United States,56.98
Qatar,55.96
New Zealand,55.73
Canada,53.4
Japan,53.04
United Kingdom,51.93
United Arab Emirates,51.28
France,51.26
Finland,51.05
Belgium,50.67
Austria,50.46
Sweden,50.23
Malta,49.97
Lebanon,48.61
Germany,47.78
Italy,44.95
Cyprus,41.84
Taiwan,41.42
Kuwait,40.54
Spain,38.58
Panama,37.51
Slovenia,37.01
Cuba,36.36
Estonia,36.19
Palestine,36.03
Greece,35.81
Portugal,35.19
Czech Republic,34.25
Uruguay,34.19
Oman,34.11
Jamaica,33.46
Nigeria,33.07
Croatia,32.27
Saudi Arabia,32.25
Costa Rica,31.87
Lithuania,31.29
Jordan,30.46
Guatemala,30.42
South Africa,30.14
China,29.93
Thailand,29.84
El Salvador,29.75
Chile,29.66
Myanmar,28.87
Ghana,28.28
Iran,27.85
Venezuela,27.63
Poland,27.46
Hungary,27.18
Dominican Republic,26.68
Vietnam,26.11
Nicaragua,25.13
Ecuador,25.12
Mexico,24.66
Bulgaria,24.64
Malaysia,24.29
Philippines,24.18
Indonesia,23.65
Romania,23.49
Armenia,23.45
Serbia,23.33
Bolivia,23.24
Peru,22.54
Bosnia And Herzegovina,22.39
Morocco,22.18
Kenya,22.11
Uganda,22.1
Argentina,22.04
Brazil,21.54
Ukraine,21.27
Belarus,21.01
Paraguay,20.75
Sri Lanka,20.48
Georgia,20.37
Bangladesh,19.67
Kazakhstan,19.66
Uzbekistan,18.86
Egypt,18.41
Turkey,18.15
Algeria,16.43
India,15.47
Pakistan,12.42
Afghanistan,12.09