Administration Bsc,Bachelor,Administración
Anthropology Bsc,Bachelor,Antropología
Architecture Bsc,Bachelor,Arquitectura
Art History Bsc,Bachelor,Historia del Arte
Arts Bsc,Bachelor,Arte
Biology Bsc,Bachelor,Biología
Biomedical Engineering Bsc,Bachelor,Ingeniería Biomédica
Chemical Engineering Bsc,Bachelor,Ingeniería Química
Chemistry Bsc,Bachelor,Química
Civil Engineering Bsc,Bachelor,Ingeniería Civil
Design Bsc,Bachelor,Diseño
Digital Narrative Bsc,Bachelor,Narrativas Digitales
Economics Bsc,Bachelor,Economía
Education Bsc / Arts,Bachelor,Licenciatura en Arte
Education Bsc / Biology,Bachelor,Licenciatura en Biología
Education Bsc / Early Childhood,Bachelor,Licenciatura en Educación Infantil 
Education Bsc / History,Bachelor,Licenciatura en Historia
Education Bsc / Humanities,Bachelor,Licenciatura en Humanidades
Education Bsc / Mathematics,Bachelor,Licenciatura en Matemáticas
Education Bsc / Philosophy,Bachelor,LICENCIATURA EN FILOSOFÍA
Education Bsc / Spanish and Philology,Bachelor,LICENCIATURA EN ESPAÑOL Y FILOLOGÍA
Electrical Engineering Bsc,Bachelor,Ingeniería Eléctrica
Electronic Engineering Bsc,Bachelor,Ingeniería Electrónica
Environmental Engineering Bsc,Bachelor,Ingeniería Ambiental
Food Engineering,Bachelor,Ingeniería de alimentos
Geosciences Bsc,Bachelor,Geociencias
Global Studies Bsc,Bachelor,Estudios Globales
Government and Public Policy Bsc,Bachelor,Gobierno y Políticas Públicas
History Bsc,Bachelor,Historia
Industrial Engineering Bsc,Bachelor,Ingeniería Industrial
International Accounting Bsc,Bachelor,Contaduría Internacional
Languages and Culture Bsc,Bachelor,Lenguas y Cultura
Law Bsc,Bachelor,Derecho
Literature Bsc,Bachelor,Literatura
Mathematics Bsc,Bachelor,Matemáticas
Mechanical Engineering Bsc,Bachelor,Ingeniería Mecánica
Medicine,Bachelor,Medicina
Microbiology Bsc,Bachelor,Microbiología
Music Bsc,Bachelor,Música
Other Bsc,Bachelor,Otro pregrado
Philosophy Bsc,Bachelor,Filosofía 
Physics Bsc,Bachelor,Física
Political Science Bsc,Bachelor,Ciencia Política
Psychology Bsc,Bachelor,Psicología
Systems and Computing Engineering Bsc,Bachelor,Ingeniería de Sistemas y Computación