Academic period,Number,Relation: Relation ID
Second Semester 2018,4,541
Second Semester 2018,1,153
First Semester 2019,1,153
Second Semester 2018,7,981
Second Semester 2018,3,535
First Semester 2019,2,535
Second Semester 2018,2,538
First Semester 2019,2,538
Second Semester 2018,4,1016
First Semester 2019,4,1016
Second Semester 2018,1,544
First Semester 2019,4,541
Second Semester 2018,1,7
Second Semester 2018,2,3
First Semester 2019,2,3
Second Semester 2018,2,13
First Semester 2019,2,13
Second Semester 2018,2,16
First Semester 2019,2,16
Second Semester 2018,2,23
First Semester 2019,3,23
Second Semester 2018,2,826
First Semester 2019,2,826
Second Semester 2018,2,32
First Semester 2019,2,32
Second Semester 2018,1,35
First Semester 2019,1,35
First Semester 2019,0,7
Second Semester 2018,2,498
First Semester 2019,2,498
Second Semester 2018,2,39
First Semester 2019,0,39
Second Semester 2018,1,42
First Semester 2019,1,42
Second Semester 2018,2,1019
First Semester 2019,2,1019
Second Semester 2018,3,503
First Semester 2019,3,503
Second Semester 2018,1,507
First Semester 2019,0,507
Second Semester 2018,0,510
First Semester 2019,0,510
Second Semester 2018,3,871
First Semester 2019,2,871
Second Semester 2018,3,639
First Semester 2019,3,639
Second Semester 2018,2,51
First Semester 2019,2,51
Second Semester 2018,2,623
First Semester 2019,2,623
Second Semester 2018,2,1014
First Semester 2019,2,1014
Second Semester 2018,2,62
First Semester 2019,2,62
Second Semester 2018,2,67
First Semester 2019,2,67
Second Semester 2018,2,71
First Semester 2019,2,71
Second Semester 2018,4,74
First Semester 2019,4,74
Second Semester 2018,1,665
First Semester 2019,1,665
Second Semester 2018,3,78
First Semester 2019,3,78
Second Semester 2018,2,744
First Semester 2019,2,744
Second Semester 2018,2,561
First Semester 2019,0,561
Second Semester 2018,2,887
First Semester 2019,1,887
Second Semester 2018,2,84
First Semester 2019,2,84
Second Semester 2018,5,89
First Semester 2019,5,89
Second Semester 2018,3,92
First Semester 2019,3,92
Second Semester 2018,5,558
First Semester 2019,5,558
Second Semester 2018,4,868
First Semester 2019,4,868
Second Semester 2018,2,96
First Semester 2019,2,96
Second Semester 2018,1,582
First Semester 2019,1,582
Second Semester 2018,2,1028
First Semester 2019,2,1028
Second Semester 2018,1,786
First Semester 2019,3,786
Second Semester 2018,5,783
First Semester 2019,5,783
Second Semester 2018,2,818
First Semester 2019,1,818
Second Semester 2018,5,114
First Semester 2019,5,114
Second Semester 2018,4,846
First Semester 2019,4,846
Second Semester 2018,6,119
First Semester 2019,6,119
Second Semester 2018,1,750
First Semester 2019,1,750
Second Semester 2018,2,531
First Semester 2019,2,531
Second Semester 2018,2,747
First Semester 2019,2,747
Second Semester 2018,2,792
Summer School 2018,2,1230
First Semester 2019,7,981
Second Semester 2018,2,136
First Semester 2019,2,136
Second Semester 2018,2,139
First Semester 2019,3,139
Second Semester 2018,2,799
First Semester 2019,2,799
Second Semester 2018,2,142
First Semester 2019,2,142
Second Semester 2018,2,733
First Semester 2019,2,733
Second Semester 2018,1,830
First Semester 2019,1,830
Second Semester 2018,2,149
First Semester 2019,4,149
Second Semester 2018,2,754
First Semester 2019,2,754
Second Semester 2018,1,156
First Semester 2019,1,156
Second Semester 2018,2,159
First Semester 2019,3,159
Second Semester 2018,2,167
First Semester 2019,2,167
Second Semester 2018,1,179
First Semester 2019,1,179
Second Semester 2018,1,781
First Semester 2019,1,781
Second Semester 2018,1,779
First Semester 2019,1,779
Second Semester 2018,5,668
First Semester 2019,5,668
Second Semester 2018,2,671
First Semester 2019,2,671
Second Semester 2018,0,188
Second Semester 2018,1,834
First Semester 2019,1,834
Second Semester 2018,1,191
First Semester 2019,0,191
Second Semester 2018,3,195
First Semester 2019,4,195
Second Semester 2018,2,631
First Semester 2019,0,631
Second Semester 2018,2,199
First Semester 2019,1,199
Second Semester 2018,2,204
First Semester 2019,2,204
Second Semester 2018,2,528
First Semester 2019,2,528
Second Semester 2018,3,702
First Semester 2019,3,702
Second Semester 2018,3,522
First Semester 2019,3,522
Second Semester 2018,4,519
First Semester 2019,4,519
Second Semester 2018,4,207
First Semester 2019,4,207
Second Semester 2018,3,1024
First Semester 2019,3,1024
Second Semester 2018,1,941
First Semester 2019,1,941
Second Semester 2018,1,996
First Semester 2019,1,996
Second Semester 2018,1,997
First Semester 2019,2,997
Second Semester 2018,3,211
First Semester 2019,3,211
Second Semester 2018,1,220
First Semester 2019,1,220
Second Semester 2018,4,225
First Semester 2019,1,225
Second Semester 2018,1,232
First Semester 2019,1,232
Second Semester 2018,2,874
First Semester 2019,2,874
Second Semester 2018,4,248
First Semester 2019,4,248
Second Semester 2018,7,262
First Semester 2019,7,262
Second Semester 2018,4,777
First Semester 2019,3,777
Second Semester 2018,1,271
First Semester 2019,1,271
Second Semester 2018,2,274
First Semester 2019,2,274
Second Semester 2018,3,277
First Semester 2019,3,277
Second Semester 2018,2,294
First Semester 2019,2,294
Second Semester 2018,1,298
First Semester 2019,1,298
Second Semester 2018,1,300
First Semester 2019,1,300
Second Semester 2018,1,306
First Semester 2019,1,306
Second Semester 2018,1,309
First Semester 2019,1,309
Second Semester 2018,2,322
First Semester 2019,2,322
Second Semester 2018,4,319
First Semester 2019,4,319
Second Semester 2018,3,677
First Semester 2019,3,677
Second Semester 2018,1,713
First Semester 2019,0,713
Second Semester 2018,2,768
First Semester 2019,2,768
Second Semester 2018,2,765
First Semester 2019,2,765
Second Semester 2018,3,710
First Semester 2019,3,710
Second Semester 2018,4,328
First Semester 2019,4,328
Second Semester 2018,5,331
First Semester 2019,3,331
Second Semester 2018,3,688
First Semester 2019,2,688
Second Semester 2018,2,692
First Semester 2019,2,692
Second Semester 2018,2,674
First Semester 2019,2,674
Second Semester 2018,4,695
First Semester 2019,2,695
Second Semester 2018,2,555
First Semester 2019,2,555
Second Semester 2018,2,804
First Semester 2019,0,804
Second Semester 2018,2,808
First Semester 2019,1,808
Second Semester 2018,3,852
First Semester 2019,2,852
Second Semester 2018,2,516
First Semester 2019,2,516
Second Semester 2018,2,855
First Semester 2019,2,855
Second Semester 2018,4,462
First Semester 2019,4,462
Second Semester 2018,1,968
First Semester 2019,1,968
Second Semester 2018,1,652
First Semester 2019,1,652
Second Semester 2018,2,842
First Semester 2019,2,842
Second Semester 2018,2,956
First Semester 2019,0,956
Second Semester 2018,1,456
First Semester 2019,0,456
Second Semester 2018,1,953
First Semester 2019,1,953
Second Semester 2018,2,453
First Semester 2019,2,453
Second Semester 2018,4,948
First Semester 2019,4,948
Second Semester 2018,2,429
First Semester 2019,2,429
Second Semester 2018,1,422
First Semester 2019,1,422
Second Semester 2018,1,410
First Semester 2019,1,410
Second Semester 2018,4,418
First Semester 2019,4,418
Second Semester 2018,4,395
First Semester 2019,4,395
Second Semester 2018,1,391
First Semester 2019,0,391
Second Semester 2018,1,837
First Semester 2019,1,837
Second Semester 2018,2,596
First Semester 2019,2,596
Second Semester 2018,3,619
First Semester 2019,2,619
Second Semester 2018,2,1013
First Semester 2019,2,1013
Second Semester 2018,2,611
First Semester 2019,0,611
Second Semester 2018,1,383
First Semester 2019,1,383
Second Semester 2018,4,862
First Semester 2019,4,862
Second Semester 2018,7,726
First Semester 2019,7,726
Second Semester 2018,4,371
First Semester 2019,4,371
Second Semester 2018,2,771
First Semester 2019,2,771
Second Semester 2018,5,865
First Semester 2019,5,865
Second Semester 2018,2,363
First Semester 2019,2,363
Second Semester 2018,7,349
First Semester 2019,5,349
Second Semester 2018,2,346
First Semester 2019,2,346
Second Semester 2018,6,736
First Semester 2019,2,736
Second Semester 2018,4,525
First Semester 2019,4,525
Second Semester 2018,5,1051
First Semester 2019,5,1051
Second Semester 2018,2,740
First Semester 2019,2,740
Second Semester 2018,1,756
First Semester 2019,1,756
Second Semester 2018,1,1244
First Semester 2019,1,1244
Second Semester 2018,1,1245
First Semester 2019,1,1245
Second Semester 2018,1,1246
First Semester 2019,1,1246
Second Semester 2018,1,1247
First Semester 2019,1,1247
Second Semester 2018,1,1241
First Semester 2019,1,1241
Second Semester 2018,1,1242
First Semester 2019,1,1242
Second Semester 2018,1,1243
First Semester 2019,6,1243
Second Semester 2018,2,1008
First Semester 2019,2,1008
Second Semester 2018,4,547
First Semester 2019,4,547
Second Semester 2018,7,267
First Semester 2019,7,267
Second Semester 2018,1,473
First Semester 2019,1,473
Second Semester 2018,1,501
First Semester 2019,1,501
Second Semester 2018,2,1248
First Semester 2019,2,1248
Second Semester 2018,2,635
First Semester 2019,2,635
Second Semester 2018,4,445
First Semester 2019,1,945
Second Semester 2018,1,1266
Second Semester 2018,1,589
Second Semester 2018,1,1005
Second Semester 2018,5,926
Second Semester 2018,1,905
First Semester 2019,1,921
Second Semester 2018,0,881
First Semester 2019,2,881
Second Semester 2018,0,921
Second Semester 2018,0,608
First Semester 2019,0,608
Second Semester 2018,0,403
First Semester 2019,0,403
Second Semester 2018,0,945
Second Semester 2018,0,938
First Semester 2019,3,938
First Semester 2019,1,1005
Second Semester 2018,2,1010
First Semester 2019,1,1010
Second Semester 2018,1,1009
First Semester 2019,1,1009
Second Semester 2018,1,1011
Second Semester 2018,7,908
First Semester 2019,1,1011
Second Semester 2018,2,1007
,2,1007
Second Semester 2018,2,201
First Semester 2019,2,201
Second Semester 2018,4,680
Second Semester 2018,2,707
First Semester 2019,2,707
Second Semester 2018,2,982
First Semester 2019,2,982
Second Semester 2018,2,339
First Semester 2019,2,339
Second Semester 2018,4,319
Second Semester 2018,2,620
First Semester 2019,2,620
Second Semester 2018,2,593
First Semester 2019,2,593
Second Semester 2018,2,998
Second Semester 2018,1,1000
Second Semester 2018,2,1006
First Semester 2019,2,1006
Second Semester 2018,1,572
Second Semester 2018,2,1004
First Semester 2019,2,1004
Second Semester 2018,5,984
Second Semester 2018,2,564
First Semester 2019,0,564
Second Semester 2018,1,566
First Semester 2019,0,566
Second Semester 2018,5,584
First Semester 2019,5,584
,5,926
First Semester 2019,5,984
Second Semester 2018,7,632
First Semester 2019,7,632
Second Semester 2018,7,586
First Semester 2019,7,586
First Semester 2019,7,908
Second Semester 2018,1,57
Second Semester 2018,2,762
Second Semester 2018,1,1276
First Semester 2019,1,57
First Semester 2019,4,1062
First Semester 2019,1,1292
First Semester 2019,1,657
First Semester 2019,2,242
First Semester 2019,1,774
First Semester 2019,1,1124
First Semester 2019,1,572
First Semester 2019,1,627
First Semester 2019,1,789
First Semester 2019,3,1087
First Semester 2019,1,878
First Semester 2019,1,716
First Semester 2019,1,1305
First Semester 2019,2,1287
First Semester 2019,1,1070
First Semester 2019,1,1068
Second Semester 2018,1,716
First Semester 2019,1,911
First Semester 2019,2,1000
First Semester 2019,0,999
First Semester 2019,2,762
First Semester 2019,1,976
First Semester 2019,1,1128
First Semester 2019,2,1091
Second Semester 2018,1,978
Second Semester 2018,1,976
Second Semester 2018,1,242
First Semester 2019,1,544
Inter-semester 2018,17,1100
Inter-semester 2018,5,1023
Inter-semester 2018,17,1337
Second Semester 2019,1,188
Second Semester 2018,3,1397
First Semester 2019,3,1397
First Semester 2019,1,1276
First Semester 2019,2,145
Second Semester 2019,2,525
Second Semester 2019,7,868
First Semester 2020,7,868
Second Semester 2019,1,23
First Semester 2020,1,23
First Semester 2019,1,1097
Second Semester 2018,4,1461
First Semester 2019,4,1461
Second Semester 2019,4,1461
Second Semester 2019,1,410
First Semester 2020,1,410
Second Semester 2019,4,418
First Semester 2020,4,418
Second Semester 2019,2,145
First Semester 2020,2,145
Second Semester 2019,2,799
First Semester 2020,2,799
Second Semester 2019,4,395
First Semester 2020,4,395
Second Semester 2020,4,395
Second Semester 2019,2,1292
First Semester 2020,1,1292
Second Semester 2019,2,57
First Semester 2020,1,57
Second Semester 2019,2,635
First Semester 2020,2,635
Second Semester 2019,2,84
First Semester 2020,2,84
Second Semester 2019,2,541
First Semester 2020,2,541
Second Semester 2019,2,547
First Semester 2020,2,547
Second Semester 2019,2,1016
First Semester 2020,2,1016
Second Semester 2019,2,544
First Semester 2020,2,544
Second Semester 2019,1,538
First Semester 2020,1,538
Second Semester 2019,2,535
First Semester 2020,2,535
Second Semester 2019,2,855
First Semester 2020,2,855
Second Semester 2019,2,1070
First Semester 2020,2,1070
Second Semester 2019,3,1305
Second Semester 2019,0,191
Second Semester 2019,5,1381
Second Semester 2019,1,652
Second Semester 2019,2,346
Second Semester 2019,1,383
Second Semester 2019,2,67
Second Semester 2019,5,668
Second Semester 2019,1,671
Second Semester 2019,5,184
Second Semester 2019,3,688
Second Semester 2019,2,692
Second Semester 2019,2,695
Second Semester 2019,1,391
Second Semester 2019,1,611
Second Semester 2019,2,619
Second Semester 2019,1,445
Second Semester 2019,2,498
Second Semester 2019,2,453
Second Semester 2019,5,114
Second Semester 2019,5,513
Second Semester 2019,4,846
Second Semester 2019,6,119
Second Semester 2010,3,207
Second Semester 2019,4,462
Second Semester 2019,2,555
Second Semester 2019,2,179
Second Semester 2019,2,786
Second Semester 2019,1,1068
Second Semester 2019,2,887
Second Semester 2019,1,1353
Second Semester 2019,5,89
Second Semester 2019,2,768
Second Semester 2019,6,926
Second Semester 2019,2,96
Second Semester 2019,5,865
Second Semester 2019,2,740
Second Semester 2019,4,862
Second Semester 2019,1,830
Second Semester 2019,2,294
Second Semester 2019,1,837
Second Semester 2019,2,842
Second Semester 2019,2,7
Second Semester 2019,1,92
Second Semester 2019,4,948
Second Semester 2019,1,306
Second Semester 2019,1,501
Second Semester 2018,1,1465
First Semester 2019,2,1465
Second Semester 2018,2,1469
First Semester 2019,0,1469
Second Semester 2018,5,1470
First Semester 2019,5,1470
Second Semester 2018,5,1471
First Semester 2019,5,1471
Second Semester 2018,5,1472
First Semester 2019,5,1472
Second Semester 2018,6,1473
First Semester 2019,2,1473
Second Semester 2018,6,1474
First Semester 2019,2,1474
Second Semester 2018,6,1475
First Semester 2019,2,1475
Second Semester 2019,4,248
Second Semester 2019,1,878
Second Semester 2019,1,1124
Second Semester 2010,1,572
Second Semester 2019,2,1301
Second Semester 2019,1,627
Second Semester 2019,2,558
Second Semester 2019,1,582
Second Semester 2019,5,584
Second Semester 2019,7,586
Second Semester 2019,2,1028
Second Semester 2019,2,871
Second Semester 2019,5,349
Second Semester 2019,2,771
Second Semester 2019,2,528
Second Semester 2019,1,159
Second Semester 2019,3,1024
Second Semester 2019,2,754
Second Semester 2019,3,1087
Second Semester 2019,2,342
Second Semester 2019,2,747
Second Semester 2019,1,1466
Second Semester 2019,1,1303
Second Semester 2019,1,1468
Second Semester 2019,3,1472
Second Semester 2019,2,3
Second Semester 2019,3,1469
Second Semester 2019,2,631
Second Semester 2019,2,665
First Semester 2020,3,665
First Semester 2020,1,453
Second Semester 2019,1,1471
Second Semester 2019,4,371
Second Semester 2019,2,596
First Semester 2020,3,1305
Second Semester 2019,2,1014
Second Semester 2019,2,1091
Second Semester 2019,2,765
First Semester 2020,2,740
Second Semester 2019,1,222
First Semester 2020,1,222
First Semester 2020,4,948
Second Semester 2019,1,300
Second Semester 2019,1,1128
Second Semester 2019,2,51
Second Semester 2019,2,1248
Second Semester 2019,1,881
Second Semester 2019,2,16
Second Semester 2019,3,62
Second Semester 2019,1,1287
Second Semester 2019,3,211
Second Semester 2019,1,71
Second Semester 2019,1,531
Second Semester 2019,6,981
Second Semester 2019,1,968
Second Semester 2019,2,1062
Second Semester 2019,2,13
Second Semester 2019,1,225
Second Semester 2019,1,953
Second Semester 2019,2,1473
Second Semester 2019,2,1475
Second Semester 2019,1,1474
Second Semester 2019,2,736
Second Semester 2019,2,149
Second Semester 2019,3,139
Second Semester 2019,3,1430
Second Semester 2019,4,74
Second Semester 2019,3,78
Second Semester 2019,1,153
Second Semester 2019,1,156
Second Semester 2019,1,1465
Second Semester 2010,1,32
First Semester 2019,1,1214
Second Semester 2019,2,1411
Second Semester 2019,3,1412
Second Semester 2019,1,569
Second Semester 2019,1,1409
Second Semester 2019,2,683
Period 2019-13,2,1492
Second Semester 2019,2,309
First Semester 2020,2,309
Second Semester 2019,3,274
First Semester 2020,4,274
First Semester 2020,1,62
Second Semester 2019,1,42
Second Semester 2019,2,544
Second Semester 2019,1,996
Second Semester 2019,2,710
Second Semester 2019,1,32
First Semester 2020,3,1381
First Semester 2020,2,96
Second Semester 2019,2,136
Second Semester 2019,2,762
Second Semester 2019,8,118
First Semester 2020,4,118
Second Semester 2018,1,1607
First Semester 2019,1,1607
Second Semester 2019,2,1607
First Semester 2020,2,1607
Second Semester 2018,1,1608
First Semester 2019,1,1608
Second Semester 2019,2,1608
First Semester 2020,2,1608
First Semester 2019,2,1609
Second Semester 2019,2,1609
First Semester 2019,2,1610
Second Semester 2019,1,1610
Second Semester 2018,2,1611
First Semester 2019,2,1611
Second Semester 2019,1,1611
Second Semester 2018,2,1612
First Semester 2019,2,1612
Second Semester 2019,2,1612
Second Semester 2018,1,1613
First Semester 2019,1,1613
Second Semester 2019,2,1613
First Semester 2020,2,1613
Second Semester 2018,1,1614
First Semester 2019,1,1614
Second Semester 2019,2,1614
First Semester 2020,2,1614
Second Semester 2018,3,1615
First Semester 2019,3,1615
Second Semester 2019,2,1615
Second Semester 2018,3,1616
First Semester 2019,3,1616
Second Semester 2019,3,1616
Second Semester 2018,2,1617
First Semester 2019,2,1617
Second Semester 2019,1,1617
Second Semester 2018,2,1618
First Semester 2019,2,1618
Second Semester 2019,1,1618
Second Semester 2018,2,1619
First Semester 2019,2,1619
Second Semester 2019,3,1619
Second Semester 2018,2,1620
First Semester 2019,2,1620
Second Semester 2019,1,1620
Second Semester 2018,2,1621
First Semester 2019,2,1621
Second Semester 2019,2,1621
First Semester 2020,1,1621
Second Semester 2018,2,1622
First Semester 2019,2,1622
Second Semester 2019,1,1622
First Semester 2020,1,1622
Second Semester 2018,7,1623
First Semester 2019,7,1623
Second Semester 2019,2,1623
Second Semester 2018,7,1624
First Semester 2019,7,1624
Second Semester 2019,6,1624
Second Semester 2018,3,1625
First Semester 2019,3,1625
Second Semester 2018,3,1626
First Semester 2019,3,1626
Second Semester 2018,1,1627
First Semester 2019,1,1627
Second Semester 2019,2,1627
Second Semester 2018,1,1628
First Semester 2019,1,1628
Second Semester 2019,1,1628
First Semester 2019,1,1629
Second Semester 2019,2,1629
First Semester 2020,2,1629
First Semester 2019,1,1630
Second Semester 2019,2,1630
First Semester 2020,2,1630
Second Semester 2018,6,1631
First Semester 2019,2,1631
Second Semester 2019,1,1631
Second Semester 2018,2,1632
First Semester 2019,2,1632
Second Semester 2019,2,1632
Second Semester 2018,2,1633
First Semester 2019,2,1633
Second Semester 2019,2,1633
Second Semester 2018,1,1636
First Semester 2019,1,1636
Second Semester 2019,2,1636
Second Semester 2018,1,1637
First Semester 2019,1,1637
Second Semester 2019,1,1637
Second Semester 2019,2,1605
Period 2019-13,1,698
Second Semester 2019,3,698
Period 2019-13,1,1607
Period 2019-13,1,1613
Second Semester 2019,2,64
Second Semester 2019,1,522
Period 2019-13,1,1621
Period 2019-13,1,1596
Second Semester 2019,3,1596
Period 2019-13,1,1600
Second Semester 2019,2,1600
Second Semester 2019,2,900
Second Semester 2019,3,1506
Second Semester 2019,1,1625
First Semester 2019,1,1638
Second Semester 2019,3,1638
First Semester 2020,1,1638
Second Semester 2019,2,1604
Period 2019-13,1,1636
First Semester 2019,1,1639
Second Semester 2019,3,1639
First Semester 2020,1,1639
Second Semester 2019,1,789
Second Semester 2019,2,657
Second Semester 2019,1,199
Second Semester 2019,4,207
Second Semester 2019,5,984
Second Semester 2019,2,1097
First Semester 2020,4,1667
Second Semester 2020,2,1667
First Semester 2020,1,683
Second Semester 2020,2,683
First Semester 2020,4,119
First Semester 2020,4,1087
Second Semester 2020,4,1087
First Semester 2020,4,945
First Semester 2020,8,1392
Second Semester 2020,8,1392
Second Semester 2019,1,1209
First Semester 2020,2,413
First Semester 2020,2,51
First Semester 2020,4,1248
First Semester 2020,1,32
First Semester 2020,2,887
First Semester 2020,1,1496
First Semester 2020,3,211
First Semester 2020,2,71
First Semester 2020,7,981
First Semester 2020,2,149
First Semester 2020,1,968
First Semester 2020,2,1062
First Semester 2020,4,733
First Semester 2020,3,13
First Semester 2020,2,225
First Semester 2020,1,953
First Semester 2020,1,1716
First Semester 2020,1,16
First Semester 2020,1,1532
First Semester 2020,2,1287
First Semester 2020,2,531
First Semester 2020,2,498
First Semester 2020,5,114
First Semester 2020,5,513
First Semester 2020,4,846
First Semester 2020,4,519
First Semester 2020,4,462
First Semester 2020,1,383
First Semester 2020,2,786
Second Semester 2020,2,786
First Semester 2020,1,652
First Semester 2020,1,1353
Second Semester 2020,1,1353
First Semester 2020,1,371
Second Semester 2020,1,371
First Semester 2020,5,619
Second Semester 2020,5,619
First Semester 2020,2,525
Second Semester 2020,2,525
First Semester 2020,2,1461
Second Semester 2020,2,1461
First Semester 2020,3,1241
Second Semester 2020,2,1241
First Semester 2020,1,1247
Second Semester 2020,1,1247
First Semester 2020,1,1242
Second Semester 2020,1,1242
First Semester 2020,2,1245
Second Semester 2020,2,1245
First Semester 2020,1,1246
Second Semester 2020,1,1246
First Semester 2020,3,1243
Second Semester 2020,4,1243
First Semester 2020,1,1244
Second Semester 2020,1,1244
First Semester 2020,1,756
Second Semester 2020,1,756
First Semester 2020,5,184
First Semester 2020,1,692
First Semester 2020,3,139
First Semester 2020,1,716
First Semester 2020,2,874
First Semester 2020,2,871
First Semester 2020,1,156
Second Semester 2020,1,156
First Semester 2020,1,153
First Semester 2020,1,153
First Semester 2020,3,159
Second Semester 2020,3,159
First Semester 2020,1,1474
First Semester 2020,1,1473
First Semester 2020,1,1475
First Semester 2020,1,271
Second Semester 2020,1,271
Second Semester 2020,1,541
First Semester 2020,1,1465
Second Semester 2020,1,997
Second Semester 2020,1,996
Second Semester 2020,1,996
First Semester 2020,2,74
Second Semester 2020,2,74
Second Semester 2020,2,855
Second Semester 2020,1,830
First Semester 2020,1,1754
Second Semester 2020,2,39
First Semester 2020,2,503
First Semester 2020,2,623
First Semester 2020,4,207
First Semester 2020,1,473
First Semester 2020,2,852
First Semester 2020,2,611
First Semester 2020,2,842
First Semester 2020,1,1470
First Semester 2020,1,92
First Semester 2020,7,926
First Semester 2020,1,306
First Semester 2020,3,984
First Semester 2020,1,516
First Semester 2020,3,195
First Semester 2020,2,1469
First Semester 2020,5,262
First Semester 2020,4,319
First Semester 2020,2,1519
First Semester 2020,2,596
First Semester 2020,1,818
First Semester 2020,2,804
First Semester 2020,2,1019
First Semester 2020,1,1285
First Semester 2020,2,762
First Semester 2020,2,768
First Semester 2020,2,765
First Semester 2020,1,1672
First Semester 2020,2,1013
Second Semester 2020,2,1013
First Semester 2020,3,78
Second Semester 2018,3,1793
First Semester 2019,3,1793
Second Semester 2019,3,1793
Second Semester 2018,2,1795
First Semester 2019,2,1795
First Semester 2020,2,1795
Second Semester 2020,2,1795
First Semester 2020,3,1024
Second Semester 2020,5,184
First Semester 2020,3,1661
Second Semester 2020,3,1661
First Semester 2020,2,322
First Semester 2020,4,837
Second Semester 2020,6,837
First Semester 2020,1,921
Second Semester 2020,1,921
First Semester 2020,1,1644
Second Semester 2020,2,1644
First Semester 2020,1,379
Second Semester 2020,1,379
First Semester 2020,4,248
First Semester 2020,1,1471
First Semester 2020,2,1472
First Semester 2020,2,631
First Semester 2020,1,657
First Semester 2020,1,878
First Semester 2020,1,572
First Semester 2020,5,558
First Semester 2020,2,1028
First Semester 2020,5,349
Second Semester 2018,2,1796
