Academic period,Number,Relation: Relation ID
First Semester 2019,2,1796
Second Semester 2019,2,1796
First Semester 2020,2,754
First Semester 2020,2,747
First Semester 2020,1,1128
First Semester 2020,1,1124
First Semester 2020,2,1301
First Semester 2020,1,627
First Semester 2020,2,771
First Semester 2020,2,528
First Semester 2020,2,1091
First Semester 2020,1,300
First Semester 2020,1,781
First Semester 2020,1,42
First Semester 2020,1,1503
First Semester 2020,1,242
First Semester 2020,2,603
First Semester 2020,3,639
First Semester 2020,5,89
First Semester 2020,1,136
First Semester 2020,1,1068
First Semester 2020,2,555
Second Semester 2019,2,1802
Second Semester 2019,2,1803
First Semester 2020,4,862
Inter-semester 2019,30,1100
Inter-semester 2019,2,1749
Inter-semester 2019,1,1740
Inter-semester 2019,3,1023
Inter-semester 2019,1,1337
First Semester 2020,2,1805
First Semester 2020,2,1806
First Semester 2020,2,1810
First Semester 2020,2,1808
First Semester 2020,2,1807
First Semester 2020,2,1809
First Semester 2020,1,1819
First Semester 2020,1,1824
First Semester 2020,1,1822
First Semester 2020,1,1818
First Semester 2020,1,1820
First Semester 2020,1,1823
First Semester 2020,1,1821
First Semester 2020,2,1802
First Semester 2020,1,1005
First Semester 2020,1,1006
First Semester 2020,1,1011
First Semester 2020,1,1009
First Semester 2020,1,1010
First Semester 2020,1,1007
First Semester 2020,1,1004
First Semester 2020,2,908
First Semester 2020,1,1008
,8,1392
First Semester 2020,2,1839
Second Semester 2020,2,1839
First Semester 2020,2,1014
First Semester 2020,2,834
First Semester 2020,2,834
Inter-semester 2019,2,1836
Inter-semester 2019,1,1838
First Semester 2020,1,713
Second Semester 2018,1,1843
First Semester 2020,7,686
First Semester 2020,2,67
Second Semester 2018,1,1857
First Semester 2019,1,1857
Second Semester 2018,5,1880
First Semester 2019,5,1880
First Semester 2020,1,736
Second Semester 2018,5,1892
First Semester 2019,5,1892
Second Semester 2018,5,1893
First Semester 2019,5,1893
Second Semester 2018,5,1894
First Semester 2019,5,1894
Second Semester 2018,5,1895
First Semester 2019,5,1895
,2,1294
Second Semester 2019,2,1893
Second Semester 2019,3,1892
Second Semester 2019,3,1894
Second Semester 2019,4,1880
Second Semester 2019,4,783
Second Semester 2019,2,1895
,1,1925
,1,1926
First Semester 2020,5,668
First Semester 2020,2,688
,2,1943
Second Semester 2020,1,1943
,2,1856
Second Semester 2020,1,1856
,2,1945
,2,1944
,2,1946
Second Semester 2020,1,1946
,2,1947
Second Semester 2020,1,1947
,2,1948
,2,1949
First Semester 2020,2,346
First Semester 2020,3,1430
,1,1994
,1,1995
First Semester 2020,1,1995
,4,2019
Second Semester 2020,3,242
Second Semester 2020,1,23
Second Semester 2020,3,1381
Second Semester 2020,1,652
Second Semester 2020,2,346
Second Semester 2020,2,67
Second Semester 2020,3,668
Second Semester 2020,2,688
Second Semester 2020,1,692
Second Semester 2020,1,716
Second Semester 2020,2,51
Second Semester 2020,2,1430
Second Semester 2020,3,139
Second Semester 2020,2,1248
Second Semester 2020,1,453
Second Semester 2020,1,1995
Second Semester 2020,4,445
Second Semester 2020,2,874
Second Semester 2020,4,248
Second Semester 2020,2,878
Second Semester 2020,1,473
Second Semester 2020,2,887
Second Semester 2020,3,119
Second Semester 2020,1,1754
Second Semester 2020,1,1128
Second Semester 2020,2,84
Second Semester 2020,1,1716
Second Semester 2020,1,1532
Second Semester 2020,2,871
Second Semester 2020,3,639
Second Semester 2020,1,572
Second Semester 2020,2,623
Second Semester 2020,2,635
Second Semester 2020,1,1496
Second Semester 2020,1,627
Second Semester 2020,1,57
Second Semester 2020,5,558
Second Semester 2020,7,868
Second Semester 2020,2,96
Second Semester 2020,2,603
Second Semester 2020,5,349
Second Semester 2020,2,771
Second Semester 2020,4,862
Second Semester 2020,2,611
Second Semester 2020,2,596
Second Semester 2020,2,498
Second Semester 2020,3,78
Second Semester 2020,5,114
Second Semester 2020,5,513
Second Semester 2020,2,846
Second Semester 2020,2,528
Second Semester 2020,4,207
Second Semester 2020,2,547
Second Semester 2020,2,1016
Second Semester 2020,2,544
Second Semester 2020,2,535
Second Semester 2020,1,538
Second Semester 2020,4,462
Second Semester 2020,1,153
Second Semester 2020,2,555
Second Semester 2020,2,804
Second Semester 2020,2,799
Second Semester 2020,2,145
Second Semester 2020,2,1019
Second Semester 2020,1,1285
Second Semester 2020,3,1024
Second Semester 2020,2,1070
Second Semester 2020,1,1068
Second Semester 2020,5,89
Second Semester 2020,1,781
Second Semester 2020,2,149
Second Semester 2020,2,768
Second Semester 2020,2,765
Second Semester 2020,4,762
Second Semester 2020,2,754
Second Semester 2020,1,1503
Second Semester 2020,2,1062
Second Semester 2020,2,1519
Second Semester 2020,4,274
Second Semester 2020,5,926
Second Semester 2020,1,136
Second Semester 2020,2,747
Second Semester 2020,1,1292
Second Semester 2020,1,1672
Second Semester 2020,1,42
Second Semester 2020,1,834
Second Semester 2020,2,842
Second Semester 2020,1,92
Second Semester 2020,1,225
Second Semester 2020,4,945
Second Semester 2020,4,948
Second Semester 2020,1,300
Second Semester 2020,1,306
,2,158
,2,159
,3,2029
,3,2031
,1,2048
Second Semester 2020,2,13
Second Semester 2020,2,16
Second Semester 2020,1,32
Second Semester 2020,1,1496
Second Semester 2020,1,1532
Second Semester 2020,1,62
Second Semester 2020,1,665
Second Semester 2020,1,71
Second Semester 2020,1,1287
Second Semester 2020,2,531
Second Semester 2020,6,981
Second Semester 2020,2,733
Second Semester 2020,3,211
Second Semester 2020,2,413
Second Semester 2020,2,1305
First Semester 2021,1,1305
Second Semester 2020,1,968
Second Semester 2020,1,953
,1,1764
Second Semester 2020,1,1474
First Semester 2021,1,1465
Second Semester 2020,1,1778
First Semester 2020,2,2053
Second Semester 2020,2,2054
,2,2059
,2,2060
First Semester 2020,2,792
First Semester 2020,1,2079
First Semester 2020,2,1434
First Semester 2020,2,2077
,2,2088
,2,2089
,2,2093
,2,2094
First Semester 2021,2,683
,1,266
,1,267
,1,2099
,1,2100
,1,2101
,1,1397
,1,1398
,1,277
,1,276
,1,2104
Second Semester 2020,2,713
Second Semester 2020,1,1475
,1,2109
,1,2110
,1,2111
,1,2113
,1,2114
Second Semester 2020,2,331
Second Semester 2020,2,1124
Second Semester 2020,1,1819
Second Semester 2020,1,1824
Second Semester 2020,1,1822
Second Semester 2020,1,1818
Second Semester 2020,1,1820
Second Semester 2020,1,1823
Second Semester 2020,1,1821
Second Semester 2020,1,1670
Second Semester 2020,2,1805
Second Semester 2020,2,1806
Second Semester 2020,2,1807
Second Semester 2020,2,1808
Second Semester 2020,2,1810
Second Semester 2020,2,1809
Second Semester 2020,3,1802
Second Semester 2020,1,1011
Second Semester 2020,1,1010
Second Semester 2020,1,1007
Second Semester 2020,1,908
Second Semester 2020,2,657
Second Semester 2020,1,1311
Second Semester 2020,2,204
Second Semester 2020,1,674
Second Semester 2020,3,1676
Second Semester 2020,2,1301
Second Semester 2020,2,1028
Second Semester 2020,2,631
Second Semester 2020,2,1469
Second Semester 2020,5,865
Second Semester 2020,3,503
Second Semester 2020,1,510
Second Semester 2020,1,551
Second Semester 2020,4,519
Second Semester 2020,2,852
Second Semester 2020,2,1091
Second Semester 2020,4,319
Second Semester 2020,2,418
,4,2145
Second Semester 2020,1,199
,1,1759
,1,1787
First Semester 2020,2,1097
,1,1124
,1,2157
,1,2158
,1,2161
,1,1467
,1,2165
,1,1304
,1,2167
,1,2168
,1,2169
,1,2170
,2,546
,2,1017
,2,540
,2,1084
,2,547
,2,1016
,1,1516
,1,1515
,1,579
,1,580
,2,581
,1,585
,1,586
,1,583
,1,584
,1,588
,1,589
,2,541
,2,1083
,4,2174
,2,2175
,1,788
,1,789
,1,2176
,1,2179
Second Semester 2020,2,2145
Second Semester 2020,1,1008
Second Semester 2020,2,2157
Second Semester 2020,2,1083
Second Semester 2020,1,2179
Second Semester 2020,2,789
,1,2197
,1,2198
,1,2199
,1,2200
,1,2201
,1,2202
,1,2204
,1,2205
Second Semester 2020,1,1468
Second Semester 2020,1,2170
Second Semester 2020,2,1515
Second Semester 2020,2,582
Second Semester 2020,2,586
Second Semester 2020,2,589
,1,2207
Second Semester 2020,2,584
,1,2208
Second Semester 2020,2,580
,5,2209
,5,2210
Second Semester 2020,4,2210
Second Semester 2020,2,1277
Second Semester 2020,1,1759
Second Semester 2020,1,2194
Second Semester 2020,1,2205
,,1310
,,1311
,,2221
,,2222
,2,746
,3,2230
,3,2231
,1,2233
,1,2234
Inter-semester 2020,13,2232
Second Semester 2020,1,2208
Second Semester 2020,1,2198
,1,386
,1,1497
,1,2247
,1,2248
Second Semester 2020,2,695
Second Semester 2020,3,2231
,1,385
,2,2255
,2,2256
,1,2258
,2,2259
,2,2261
,2,2262
Second Semester 2020,1,2262
First Semester 2020,1,2263
Second Semester 2020,1,2263
First Semester 2020,1,2264
Second Semester 2020,1,2264
Second Semester 2020,1,2264
Second Semester 2020,1,2265
Second Semester 2020,1,1617
Second Semester 2020,1,1619
Second Semester 2020,1,1611
Second Semester 2020,1,2248
Second Semester 2020,2,64
Second Semester 2020,1,1609
Second Semester 2020,1,1621
Second Semester 2020,1,1596
Second Semester 2020,1,1638
Second Semester 2020,1,1506
Second Semester 2020,1,1629
Second Semester 2020,1,1632
Second Semester 2020,1,1607
,1,2275
Second Semester 2020,1,2275
,1,2294
,1,2295
Second Semester 2020,1,2295
,3,2334
,3,2335
,2,2337
First Semester 2021,1,1503
Second Semester 2020,2,1014
First Semester 2021,2,1014
First Semester 2021,2,96
First Semester 2021,3,119
,3,2342
,3,2343
,4,2344
,3,2346
,3,2345
,5,2347
,5,2353
,1,2390
Second Semester 2020,2,2328
Second Semester 2020,1,2330
Second Semester 2020,1,1416
Second Semester 2020,3,2421
Second Semester 2020,2,2422
Second Semester 2020,2,2425
Second Semester 2020,2,2427
Second Semester 2020,2,2430
Second Semester 2020,2,2432
Second Semester 2019,1,2433
First Semester 2020,1,1225
First Semester 2020,1,1202
Second Semester 2019,5,2451
Second Semester 2019,2,2463
Second Semester 2020,2,2480
Second Semester 2020,3,2481
Second Semester 2020,3,2482
Second Semester 2020,3,2483
Second Semester 2020,3,2484
Second Semester 2020,3,2485
Second Semester 2020,3,2486
Second Semester 2020,3,2487
Second Semester 2020,3,2488
Second Semester 2020,3,2489
Second Semester 2020,3,2490
Second Semester 2020,3,2491
Second Semester 2020,3,2492
Second Semester 2020,3,2493
Second Semester 2020,3,2494
Second Semester 2020,3,2495
Second Semester 2020,3,2496
Second Semester 2020,3,2497
,8,2508
First Semester 2020,8,2508
Second Semester 2020,8,2508
Second Semester 2018,1,2509
,1,851
,4,997
,1,2578
,1,2580
,4,2583
,4,2584
,4,2586
,4,2579
,4,2589
,,667
,,2590
,,2591
,2,770
,1,1611
,4,651
,1,15
,1,1612
,1,16
,1,1020
,1,2593
,1,2592
,1,305
,1,306
,1,2595
,5,688
,5,687
,1,1019
,1,2596
,2,2600
,2,861
,1,2602
,5,2597
,2,862
,5,2604
,5,709
,2,2606
,5,710
,2,2609
,5,2612
,3,602
,3,603
,1,38
,2,836
,4,947
,4,948
,2,837
,1,39
,4,1620
,3,1619
,5,2615
,2,554
,1,555
,2,2617
,8,2620
,1,622
,1,2623
,1,623
,4,1062
,4,1063
,2,701
,2,702
,1,1432
,1,1431
,1,1302
,1,1301
,1,2625
,1,2626
,1,2627
,1,2630
,3,994
,3,995
,2,601
,2,2632
,2,600
,2,2635
,1,1504
,2,213
,1,1503
,0,1503
,2,214
,1,2638
,1,2641
,5,241
,5,242
,4,1249
,2,2642
,2,1067
,4,1248
,2,1068
,1,1520
,1,1519
,5,1030
,5,1031
,5,2647
,5,2650
,2,2653
,2,462
,3,461
,1,2656
,1,2659
,4,1088
Second Semester 2020,1,2334
First Semester 2021,1,195
,1,1092
,1,1633
,1,1632
,1,12
,1,13
,2,1257
,2,1258
,1,1507
,1,1506
,1,1285
,1,1286
,1,2675
,1,2676
,1,1610
,1,1609
,1,1288
,1,1287
,1,63
,1,64
,1,2682
,1,2684
,4,1630
,2,1629
,2,1292
,2,1293
,2,417
,2,418
,2,2687
,2,2690
,1,1326
,1,1325
,8,88
,8,89
,8,2692
,8,2694
,2,390
,2,391
Inter-semester 2020,4,2468
Inter-semester 2020,45,1100
Inter-semester 2020,5,1108
,3,452
,3,453
,4,1354
,4,1353
,4,2704
,4,2707
,4,1526
,2,1527
,4,379
,4,378
,4,2710
,4,2712
,2,412
,2,413
,2,1606
,2,1605
,1,1448
,1,191
,5,516
,5,515
,2,610
,2,611
,2,2727
,2,2730
,5,1380
,5,2731
,5,1381
,5,2732
,1,2741
,1,509
,1,510
,1,2743
,1,1496
,4,1666
,4,1667
,3,2746
,3,2744
,3,2748
,3,2750
,3,2752
,1,1679
,1,1680
,3,2753
,1,1673
,1,1672
,1,1776
,1,1839
,1,77
Summer School 2020,25,2755
,1,2758
,1,78
,1,2761
,5,1677
,5,1676
,2,873
,2,2763
,2,874
,2,2766
,2,833
,2,2779
,2,834
,2,2781
,1,1669
,1,1670
,1,118
,1,2786
,1,2790
,4,119
,1,152
,1,153
,1,155
,1,156
,10,2792
,10,2794
,10,2794
,1,2796
,3,1533
,3,1532
,1,2798
,2,1717
,2,1716
,2,2263
,2,2799
,1,2265
,1,2273
,2,1779
,2,1778
,5,2811
,1,22
,1,23
,2,2812
,2,2814
,5,1040
,5,1041
,1,2819
,1,2822
,2,2824
,2,2825
,1,1765
,5,2831
,5,2832
,4,2834
,4,2835
,2,2841
,2,2844
,2,2847
,2,2850
,2,2853
,2,2856
First Semester 2021,1,2427
First Semester 2021,1,2430
First Semester 2021,2,271
First Semester 2021,2,657
First Semester 2021,1,23
First Semester 2021,1,1311
First Semester 2021,4,191
First Semester 2021,1,418
First Semester 2021,2,1381
First Semester 2021,0,652
First Semester 2021,1,1461
First Semester 2021,1,525
First Semester 2021,2,503
First Semester 2021,2,379
First Semester 2021,1,71
First Semester 2021,1,2844
First Semester 2021,1,74
First Semester 2021,1,346
First Semester 2021,1,78
First Semester 2021,5,114
First Semester 2021,1,2485
First Semester 2021,1,2494
First Semester 2021,2,513
First Semester 2021,2,846
First Semester 2021,5,668
First Semester 2021,3,531
First Semester 2021,1,671
First Semester 2021,2,677
First Semester 2021,4,207
First Semester 2021,2,852
First Semester 2021,10,686
First Semester 2021,2,984
First Semester 2021,1,855
First Semester 2021,2,2496
First Semester 2021,2,1867
First Semester 2021,2,331
First Semester 2021,3,462
First Semester 2021,2,688
First Semester 2021,1,51
First Semester 2021,2,692
First Semester 2021,3,139
First Semester 2021,1,674
First Semester 2021,1,1248
First Semester 2021,1,726
First Semester 2021,1,2483
First Semester 2021,2,1676
First Semester 2021,2,2210
,,2210
First Semester 2021,2,1995
First Semester 2021,3,453
First Semester 2021,1,179
First Semester 2021,2,1759
First Semester 2021,1,2422
First Semester 2021,1,199
First Semester 2021,1,874
First Semester 2021,1,2480
First Semester 2021,1,2490
First Semester 2021,3,119
First Semester 2021,1,195
First Semester 2021,2,878
First Semester 2021,4,1128
First Semester 2021,1,968
First Semester 2021,2,1519
First Semester 2021,3,7
First Semester 2021,2,256
First Semester 2021,1,225
First Semester 2021,1,2488
First Semester 2021,2,1087
First Semester 2021,1,945
First Semester 2021,1,1503
First Semester 2021,4,948
First Semester 2021,2,953
First Semester 2021,1,1062
First Semester 2021,1,1716
First Semester 2021,1,1431
First Semester 2021,1,156
First Semester 2021,1,153
First Semester 2021,2,159
,5,814
First Semester 2021,1,89
First Semester 2021,1,1118
First Semester 2021,2,1807
First Semester 2021,2,1809
First Semester 2021,6,1305
First Semester 2021,2,1810
First Semester 2021,2,1808
First Semester 2021,2,1806
First Semester 2021,2,1805
First Semester 2021,4,555
First Semester 2021,2,1083
First Semester 2021,1,804
First Semester 2021,3,2157
Summer School 2021,2,799
First Semester 2021,1,1124
First Semester 2021,1,145
First Semester 2021,2,1434
First Semester 2021,2,1434
First Semester 2021,2,16
First Semester 2021,1,871
First Semester 2021,1,1019
First Semester 2021,2,786
First Semester 2021,1,1644
First Semester 2021,1,2179
First Semester 2021,2,789
First Semester 2021,3,262
First Semester 2021,1,1392
First Semester 2021,2,639
First Semester 2021,1,572
First Semester 2021,4,623
First Semester 2021,1,1301
First Semester 2021,1,635
First Semester 2021,2,1353
First Semester 2021,2,1496
First Semester 2021,2,57
First Semester 2021,1,62
First Semester 2021,2,1839
First Semester 2021,2,1287
First Semester 2021,2,558
First Semester 2021,1,96
First Semester 2021,1,2208
First Semester 2021,1,2170
First Semester 2021,1,1468
First Semester 2021,2,1532
First Semester 2021,2,211
First Semester 2021,5,603
First Semester 2021,1,2486
First Semester 2020,1,306
First Semester 2021,1,349
First Semester 2021,2,862
First Semester 2021,1,1672
First Semester 2021,2,1068
First Semester 2021,2,1679
First Semester 2021,2,1014
First Semester 2021,4,2739
First Semester 2021,2,865
First Semester 2021,6,981
First Semester 2020,1,1667
First Semester 2021,2,371
First Semester 2021,1,1285
First Semester 2021,4,740
First Semester 2021,10,1661
First Semester 2021,2,1091
First Semester 2021,0,1629
First Semester 2021,3,1024
First Semester 2021,2,611
First Semester 2021,1,1778
First Semester 2020,6,1292
First Semester 2021,1,747
First Semester 2021,1,2489
First Semester 2021,1,136
First Semester 2021,2,2829
First Semester 2021,2,1802
First Semester 2020,2,2482
First Semester 2021,2,781
First Semester 2021,2,2484
First Semester 2021,1,2425
First Semester 2021,2,319
First Semester 2021,2,13
First Semester 2021,1,2487
First Semester 2021,1,830
First Semester 2021,2,1241
First Semester 2021,1,2491
First Semester 2021,1,834
First Semester 2021,1,2493
First Semester 2021,6,837
First Semester 2021,2,1247
First Semester 2021,4,395
First Semester 2021,1,842
First Semester 2021,1,1245
First Semester 2021,2,1246
First Semester 2021,2,1246
First Semester 2021,4,1243
First Semester 2000,2,1244
First Semester 2021,2,528
First Semester 2021,2,756
First Semester 2021,2,1754
First Semester 2021,2,887
First Semester 2021,2,84
First Semester 2021,10,762
First Semester 2021,1,149
First Semester 2021,4,1670
First Semester 2021,2,2856
Inter-semester 2020,4,1337
Inter-semester 2020,5,1023
Inter-semester 2020,4,1749
,8,2905
,1,2911
,1,2916
First Semester 2021,3,306
Second Semester 2020,6,486
First Semester 2021,2,544
First Semester 2021,5,535
First Semester 2021,2,1016
First Semester 2021,2,547
First Semester 2021,3,541
First Semester 2021,2,538
First Semester 2019,1,3024
Second Semester 2019,1,3024
First Semester 2020,1,3024
Second Semester 2020,2,3024
First Semester 2021,2,3024
,8,3025
First Semester 2020,8,3025
Second Semester 2020,8,3025
First Semester 2021,1,3025
First Semester 2021,5,3025
First Semester 2021,1,999
First Semester 2021,2,1000
First Semester 2021,2,998
First Semester 2021,2,631
First Semester 2021,2,1469
Second Semester 2018,1,3029
First Semester 2021,2,3029
First Semester 2021,2,561
Second Semester 2020,2,3038
Second Semester 2020,2,3039
,3,3043
,1,3044
Second Semester 2018,5,3052
First Semester 2019,5,3052
,5,3057
,1,3063
First Semester 2021,1,911
First Semester 2021,2,32
,1,3064
First Semester 2021,1,3064
Second Semester 2020,1,2928
Second Semester 2020,1,2926
Second Semester 2020,1,2916
Second Semester 2020,1,2911
First Semester 2021,2,3046
,1,3087
,2,3135
,2,3136
,30,3138
,45,3139
,,996
,,3174
Second Semester 2018,1,3174
First Semester 2019,1,3174
Second Semester 2019,1,3174
Second Semester 2020,1,3174
Second Semester 2020,1,3174
,,3175
Second Semester 2018,1,3175
First Semester 2019,1,3175
Second Semester 2019,1,3175
Second Semester 2020,1,3175
Second Semester 2020,1,3175
,,3176
Second Semester 2018,1,3176
First Semester 2019,1,3176
Second Semester 2019,1,3176
Second Semester 2020,1,3176
Second Semester 2020,1,3176
,5,3184
,5,3185
,2,3241
,2,3242
,2,3243
,2,3244
,2,3246
,2,3247
,3,3248
,2,3249
,1,3261
First Semester 2021,1,3261
,1,3275
,2,3276
,1,3278
,1,3279
,1,3309
,2,1603
,2,1604
,1,3310
,1,3318
,1,3320
,4,3322
,5,3323
,1,3324
,1,2156
,1,3325
,1,3326
,2,3328
,1,3329
,2,829
,2,3330
,2,3331
,1,3332
,1,3333
,1,3336
,1,3337
,1,3338
,1,3339
,1,3340
,1,3341
,1,3343
,1,3344
,1,3345
,1,3346
,1,3350
,1,73
,1,3351
,1,3352
,1,3357
,1,3358
,1,3359
,1,3360
,1,3361
,1,3362
,1,3363
,1,3364
,1,3368
,1,3369
,1,3370
,1,3371
,1,3372
,1,3373
,2,3374
,2,3375
,2,3376
,2,3377
,5,3379
,5,3380
,5,3381
,5,3382
,2,3384
,2,3385
,2,3386
,2,3387
,,3390
,,3391
,,3392
,,3393
,2,3394
,2,3395
,2,3396
,2,3397
,2,593
,2,592
,3,1886
,1,3399
,1,3400
,,3404
,,3405
,,3406
,,3407
,,3410
,,3411
,1,537
,1,1621
,1,1622
,1,3412
,1,3413
,1,3414
,1,3415
,1,3416
,1,3417
,3,3418
,1,3419
,1,3420
,4,3423
,4,3424
,4,3425
,4,3426
,2,3429
,2,3430
,,3432
,,3433
,,3434
,,3435
,5,3354
,5,3436
,5,3437
,5,3438
,3,3441
,3,3442
,1,3443
,1,3444
,1,3450
,3,3451
,3,3452
,1,3454
,1,3455
,1,3459
,2,3462
,2,3463
,2,3464
,2,3465
,2,3468
,2,3469
,2,3471
,2,3472
,1,3473
,1,3474
,5,3478
,5,3479
First Semester 2021,2,3487
First Semester 2021,2,3488
First Semester 2021,2,3489
First Semester 2021,1,322
First Semester 2021,2,3135
,2,497
,2,3524
,2,498
,2,3525
,,1639
,1,1638
,,1298
,2,1305
,1,3533
,4,1317
,4,1318
Second Semester 2018,2,3542
First Semester 2019,2,3542
Second Semester 2020,2,3542
,1,3544
,1,3545
,1,3546
,1,3547
,5,3555
,5,3556
,5,3557
,5,3558
,5,3559
,5,3560
,5,3561
,5,3562
,5,3563
,5,3564
,5,3565
,5,3566
,5,3567
,5,3568
,5,3569
,5,3570
,5,3571
,5,3572
,5,3573
,5,3574
,5,3575
,5,3576
,5,3577
,5,3578
,5,3579
,5,3580
,5,3581
Second Semester 2020,1,3588
Second Semester 2021,1,1604
Second Semester 2021,1,64
Second Semester 2021,1,1627
Second Semester 2021,1,2263
Second Semester 2021,1,1632
Second Semester 2021,1,1611
Second Semester 2021,1,2248
Second Semester 2021,1,2264
Second Semester 2021,1,1609
Second Semester 2021,2,1506
Second Semester 2021,2,1629
Second Semester 2021,2,1619
Second Semester 2021,1,1621
Second Semester 2021,1,1638
Second Semester 2021,2,2265
,1,3625
,1,190
,1,1449
,1,3626
,1,3627
,1,3628
Second Semester 2021,1,3625
Second Semester 2021,1,1625
Second Semester 2021,1,3627
Second Semester 2018,2,3629
First Semester 2019,2,3629
,3,3638
,1,3639
,2,3640
,4,3645
,4,3646
,,3648
,4,3651
,4,3652
,,3653
,,3654
,3,3657
,3,3658
,2,3660
,2,3661
,2,634
,2,635
,2,3664
,2,3665
,,2770
,,2768
,,330
,,331
,,332
,,333
,1,3668
,2,3669
,2,3672
,2,3673
,1,871
,1,870
,1,3675
,1,3676
,4,3679
,4,3680
,2,3682
,2,3683
,3,3685
,3,3686
,2,203
,2,204
,3,3687
,3,3688
,3,3689
,3,3690
,3,3691
,3,3692
,2,3693
,2,3694
,,25
,,26
,3,444
,,3697
,4,3700
,1,3703
,1,3704
,1,261
,1,262
,1,864
,4,865
,1,638
,1,3708
,1,96
,1,3712
,1,3713
,,2773
,,2776
,5,607
,5,608
,5,3716
,5,3717
,4,3718
,4,3719
,1,3720
,1,3721
,,1448
,1,3722
,1,3723
,,1339
,,1392
,,2702
,,2508
,0,3725
,1,652
,0,3726
,1,3728
,2,3730
,2,3731
,4,3732
,4,3733
,5,3737
,5,3738
,5,3739
,5,3740
,4,3741
,4,3742
,2,247
,2,248
,2,3743
,2,3744
,2,660
,2,661
,2,3747
,2,3748
,1,1028
,2,1027
,2,747
,2,3751
,2,3752
,1,3753
,1,3754
,2,527
,2,528
,2,3756
,2,3757
,1,345
,1,346
,,668
,,679
,,2838
,,2839
,1,327
,4,3761
,4,3762
,2,194
,2,195
,1,3763
,1,3764
,1,3766
,1,3767
,5,534
,5,535
,5,3770
,5,3771
,2,914
,2,915
,2,3772
,2,3773
,2,503
,4,502
,1,3774
,1,3775
,,571
,,572
,,3777
,,3778
,,551
,,550
,1,852
,2,774
,2,544
,2,543
,4,135
,4,136
,1,685
,2,3781
,2,3782
,2,3784
,2,3785
,1,538
,2,761
,2,3786
,0,3790
,0,3794
,1,3487
,,3488
,,3489
,3,791
,3,1230
,3,2463
,3,792
,3,138
,3,139
,3,1429
,3,1430
,3,3800
,3,3801
,,743
,,744
,,726
,1,231
,,725
,1,232
,1,187
,1,188
,2,952
,2,1636
,2,953
,1,560
,1,561
,1,3802
,,348
,,349
,,363
,,362
,,1662
,,1661
,5,803
,4,804
,4,3805
,4,3807
,2,322
,2,321
,1,1247
,1,1242
,1,1245
,1,1246
,1,1243
,1,1244
,1,756
,4,765
,4,764
,4,148
,4,149
,4,999
,4,1000
,1,998
,4,911
,4,341
,8,342
,1,830
,5,656
,5,657
,1,525
,1,524
,1,1462
,2,524
,10,3814
,2,3251
,2,3815
,1,1098
,,3819
,,3820
,1,3821
,2,3822
,2,3824
,2,3827
,2,3828
,1,3830
,1,3831
,2,3833
,1,2721
,1,2719
,1,1368
,1,1369
,2,3834
,2,3835
Second Semester 2021,1,23
Second Semester 2021,2,1311
,1,3838
Second Semester 2021,3,418
,1,3839
Second Semester 2021,4,668
Second Semester 2021,2,677
Second Semester 2021,1,2422
,5,3840
Second Semester 2021,2,248
Second Semester 2021,1,1754
Second Semester 2021,2,887
Second Semester 2021,2,119
Second Semester 2021,2,1716
Second Semester 2021,1,3064
Second Semester 2021,2,16
Second Semester 2021,1,1644
Second Semester 2021,2,57
Second Semester 2021,2,1287
Second Semester 2021,1,558
Second Semester 2021,2,868
Second Semester 2021,2,2208
,5,3841
Second Semester 2021,2,1515
Second Semester 2021,2,580
Second Semester 2021,2,1028
Second Semester 2021,5,1532
Second Semester 2021,2,211
Second Semester 2021,2,1661
Second Semester 2021,1,862
Second Semester 2021,4,503
Second Semester 2021,2,74
Second Semester 2021,1,531
Second Semester 2021,3,2231
Second Semester 2021,2,371
Second Semester 2021,2,1468
Second Semester 2021,1,2170
Second Semester 2021,3,445
Second Semester 2021,4,207
Second Semester 2021,1,544
Second Semester 2021,1,535
Second Semester 2021,2,462
Second Semester 2021,1,271
Second Semester 2021,1,1469
Second Semester 2021,2,804
Second Semester 2021,3,555
Second Semester 2021,3,948
,5,3842
Second Semester 2018,2,3842
First Semester 2019,2,3842
First Semester 2020,1,3842
Second Semester 2021,3,3025
Second Semester 2021,2,1014
Second Semester 2021,2,981
Second Semester 2021,2,1285
Second Semester 2021,2,996
Second Semester 2021,1,1465
Second Semester 2021,2,1670
Second Semester 2021,1,1068
Second Semester 2021,2,89
Second Semester 2021,2,322
